,comunidadautonoma,capitalpueblo,enpoligono,tipo_de_zona,cnae_mercado,rangoventas,rangoempleados,tipooficina,nse,flotaturismos,flotafurgonetas,universo,existe_export,existe_email,impactos_publicidad,year,proba_0,proba_1
45016,CATALUNYA,PUEBLO,1,6,INDUSTRIA MANUFACTURERA,8.0,105.0,UNICA,2,0,0,ACTIVEBUSINESS,0,0,3,9.0,0.04674888394353116,0.9532511160564688
82850,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,120.0,SEDE,4,1,0,ACTIVEBUSINESS,1,1,0,10.0,0.04676507974116617,0.9532349202588338
12130,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,10.0,110.0,SEDE,5,0,1,ACTIVEBUSINESS,1,1,0,30.0,0.04679194813740939,0.9532080518625906
88667,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,7.0,100.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,5.0,0.046893633843702376,0.9531063661562976
17523,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,5,0,0,MARKETBASE,0,0,0,6.0,0.04707992708877451,0.9529200729112255
29180,CATALUNYA,CAPITAL,0,7,INDUSTRIA MANUFACTURERA,10.0,100.0,SEDE,4,0,0,ACTIVEBUSINESS,1,1,2,34.0,0.04720432962673149,0.9527956703732685
28141,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,100.0,SEDE,5,0,1,ACTIVEBUSINESS,1,1,0,21.0,0.047315101202336396,0.9526848987976636
27587,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,3,0,1,ACTIVEBUSINESS,0,1,0,10.0,0.04766982244277895,0.952330177557221
9249,PAIS VASCO,CAPITAL,1,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,100.0,UNICA,5,0,0,ACTIVEBUSINESS,0,0,0,5.0,0.04770066039597798,0.952299339604022
33626,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,4.0,0.0,UNICA,5,0,0,MARKETBASE,0,0,0,8.0,0.04786732138487204,0.952132678615128
84741,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,4.0,0.0,UNICA,5,0,0,MARKETBASE,0,0,0,8.0,0.04786732138487204,0.952132678615128
42719,CATALUNYA,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,140.0,UNICA,0,0,0,ACTIVEBUSINESS,0,1,0,9.0,0.04787641921559471,0.9521235807844053
89575,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,100.0,UNICA,5,0,0,MARKETBASE,1,0,0,17.0,0.0482357733143115,0.9517642266856885
18200,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,3.0,0.0,SEDE,5,0,1,ACTIVEBUSINESS,0,1,0,13.0,0.04863639609169035,0.9513636039083097
77276,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,105.0,UNICA,5,0,0,ACTIVEBUSINESS,1,0,0,16.0,0.04876375562900903,0.951236244370991
66946,CATALUNYA,CAPITAL,0,7,ACTIVIDADES FINANCIERAS Y DE SEGUROS,10.0,125.0,SUCURSAL,5,0,0,ACTIVEBUSINESS,0,0,1,10.0,0.04909222141684266,0.9509077785831573
32150,CATALUNYA,CAPITAL,0,7,ACTIVIDADES FINANCIERAS Y DE SEGUROS,10.0,125.0,SUCURSAL,5,0,0,ACTIVEBUSINESS,0,0,1,10.0,0.04909222141684266,0.9509077785831573
16574,MADRID,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,105.0,UNICA,4,0,0,ACTIVEBUSINESS,0,0,0,7.0,0.049318268194344594,0.9506817318056554
48305,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,8.0,110.0,UNICA,4,0,0,ACTIVEBUSINESS,0,0,0,9.0,0.04951230750669611,0.9504876924933039
31157,MADRID,CAPITAL,1,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,10.0,145.0,UNICA,0,0,0,ACTIVEBUSINESS,1,1,0,14.0,0.0495678399867483,0.9504321600132517
5566,PAIS VASCO,CAPITAL,0,6,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,105.0,UNICA,3,0,0,ACTIVEBUSINESS,0,1,0,10.0,0.049599280657182554,0.9504007193428174
67832,CATALUNYA,CAPITAL,0,7,COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACION DE VEHICULOS DE MOTOR Y MOTOCICLETAS,9.0,140.0,UNICA,5,0,0,ACTIVEBUSINESS,0,1,0,12.0,0.04999413465736491,0.9500058653426351
